device_serial,device_model,usb_speed,host_cpu,host_kernel,bench_version,iter,elapsed_ns,echo_ok
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,42,28562098,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,43,26503951,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,44,28137376,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,45,28433954,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,46,28002042,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,47,27668464,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,48,27720844,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,49,27206940,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,50,27948111,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,51,28502156,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,52,24224298,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,53,28304811,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,54,27372785,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,55,29310238,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,56,26868732,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,57,28588758,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,58,27110468,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,59,27019886,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,60,28444734,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,61,27476138,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,62,27989002,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,63,27798086,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,64,28407634,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,65,28339022,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,66,28275900,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,67,27616852,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,68,27334904,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,69,28819105,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,70,27110728,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,71,28577969,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,72,27547570,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,73,26462370,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,74,28408334,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,75,28553258,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,76,31706255,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,77,27243512,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,78,27976542,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,79,28668171,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,80,27831038,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,81,27851998,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,82,30791049,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,83,28628030,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,84,27761636,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,85,27158029,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,86,28284880,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,87,28482146,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,88,27328594,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,89,28410414,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,90,28800565,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,91,27654973,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,92,27864839,1
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,93,30820990,1
