device_serial,device_model,usb_speed,host_cpu,host_kernel,bench_version,mode,iters,warmup,frame_w,frame_h,frame_channels,mean_ms,median_ms,p95_ms,p99_ms,stdev_ms,min_ms,max_ms,failures
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,B_exec_out_png,100,3,1080,2408,3,1328.802,1327.887,1407.485,1513.615,61.218,1201.764,1638.008,0
jfzxugsgnnvsrsg6,22095RA98C,480 Mbps,AMD Ryzen 5 5500,6.17.0-23-generic,phase0-2026-05-20,C_exec_out_raw,100,3,1080,2408,3,952.985,967.699,1018.188,1048.432,71.253,567.513,1080.194,0
